comments_num,director,name,order,score,screenwriter,type
671959,王家卫,重庆森林 重慶森林,No.108,8.8,王家卫,"剧情,爱情"
359844,森淳一,小森林 夏秋篇 リトル・フォレスト 夏・秋,No.107,9.0,"森淳一,五十岚大介",剧情
524625,姜文,阳光灿烂的日子,No.109,8.8,"姜文,王朔","剧情,爱情"
893465,李力持,唐伯虎点秋香 唐伯虎點秋香,No.106,8.7,"李力持,谷德昭,陈文强","喜剧,爱情,古装"
465212,M·奈特·沙马兰,第六感 The Sixth Sense,No.105,8.9,M·奈特·沙马兰,"剧情,悬疑,惊悚"
452869,宫崎骏,幽灵公主 もののけ姫,No.104,8.9,宫崎骏,"动画,奇幻,冒险"
430969,托尼·凯耶,超脱 Detachment,No.103,8.9,卡尔·隆德,剧情
864101,让-皮埃尔·热内,天使爱美丽 Le fabuleux destin d'Amélie Poulain,No.101,8.7,"纪尧姆·洛朗,让-皮埃尔·热内","剧情,喜剧,爱情"
878193,周星驰,功夫,No.102,8.7,"曾瑾昌,陈文强,周星驰,霍昕","喜剧,动作,犯罪,奇幻"
439962,陈可辛,甜蜜蜜,No.125,8.9,岸西,"剧情,爱情"
462772,米林宏昌,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,No.124,8.9,"宫崎骏,丹羽圭子,玛丽·诺顿","动画,奇幻,冒险"
443554,理查德·林克莱特,爱在日落黄昏时 Before Sunset,No.123,8.9,"理查德·林克莱特,朱莉·德尔佩,伊桑·霍克,金·克里桑","剧情,爱情"
245619,克林特·伊斯特伍德,完美的世界 A Perfect World,No.122,9.1,约翰·李·汉考克,"剧情,犯罪"
390815,近藤喜文,侧耳倾听 耳をすませば,No.121,8.9,"宫崎骏,柊葵","剧情,爱情,动画"
623425,程小东,倩女幽魂,No.120,8.7,阮继志,"爱情,奇幻,武侠,古装"
489877,泷田洋二郎,入殓师 おくりびと,No.119,8.9,小山薰堂,剧情
853301,"唐·霍尔,克里斯·威廉姆斯",超能陆战队 Big Hero 6,No.118,8.7,"乔丹·罗伯茨,丹尼尔·吉尔森,罗伯特·L·贝尔德","喜剧,动作,科幻,动画,冒险"
254491,是枝裕和,无人知晓 誰も知らない,No.117,9.1,是枝裕和,剧情
321701,森淳一,小森林 冬春篇 リトル・フォレスト 冬・春,No.116,9.0,"森淳一,五十岚大介",剧情
769475,大卫·芬奇,消失的爱人 Gone Girl,No.115,8.7,吉莉恩·弗林,"剧情,悬疑,惊悚,犯罪"
605683,克里斯托弗·诺兰,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,No.114,8.8,"大卫·S·高耶,乔纳森·诺兰,克里斯托弗·诺兰","剧情,动作,科幻,惊悚,犯罪"
comments_num,director,name,order,score,screenwriter,type
525804,姜炯哲,阳光姐妹淘 써니,No.134,8.8,"姜炯哲,李炳宪","剧情,喜剧"
594361,中岛哲也,告白,No.133,8.7,"中岛哲也,凑佳苗","剧情,悬疑"
487531,蒂姆·波顿,大鱼 Big Fish,No.132,8.8,"Daniel Wallace,约翰·奥古斯特","剧情,家庭,奇幻,冒险"
200395,"王树忱,钱运达",天书奇谭,No.131,9.2,"王树忱,包蕾","动画,奇幻"
464656,史蒂文·斯皮尔伯格,幸福终点站 The Terminal,No.130,8.8,"安德鲁·尼科尔,萨沙·杰瓦西 ,杰夫·内桑森","剧情,喜剧,爱情"
645275,"迪恩·德布洛斯,克里斯·桑德斯",驯龙高手 How to Train Your Dragon,No.128,8.7,"威廉姆·戴维斯,迪恩·德布洛斯,克里斯·桑德斯,葛蕾熙达·柯维尔","动画,奇幻,冒险"
565430,克里斯·哥伦布,哈利·波特与密室 Harry Potter and the Chamber of Secrets,No.127,8.8,"史蒂夫·克洛夫斯,J·K·罗琳","奇幻,冒险"
439881,大森贵弘,萤火之森 蛍火の杜へ,No.126,8.9,绿川幸,"剧情,爱情,动画,奇幻"
270909,杰茜·尼尔森,我是山姆 I Am Sam,No.150,9.0,"杰茜·尼尔森,克里斯汀·约翰逊","剧情,家庭"
162398,黑泽明,七武士 七人の侍,No.149,9.3,"黑泽明,桥本忍,小国英雄","剧情,动作,冒险"
375593,亚当·艾略特,玛丽和马克思 Mary and Max,No.129,8.9,亚当·艾略特,"剧情,喜剧,动画"
673122,梅尔·吉布森,血战钢锯岭 Hacksaw Ridge,No.147,8.7,"安德鲁·奈特,罗伯特·申坎","剧情,传记,历史,战争"
509892,昆汀·塔伦蒂诺,被解救的姜戈 Django Unchained,No.146,8.8,昆汀·塔伦蒂诺,"剧情,动作,西部,冒险"
213909,"严定宪,王树忱,徐景达",哪吒闹海,No.145,9.1,王树忱,"动画,奇幻,冒险"
359215,汉内斯·赫尔姆,一个叫欧维的男人决定去死 En man som heter Ove,No.144,8.9,"弗雷德里克·巴克曼,汉内斯·赫尔姆",剧情
998270,延尚昊,釜山行 부산행,No.143,8.6,延尚昊,"动作,惊悚,灾难"
300719,弗朗西斯·福特·科波拉,教父3 The Godfather: Part III,No.142,9.0,"马里奥·普佐,弗朗西斯·福特·科波拉","剧情,犯罪"
250724,今敏,未麻的部屋 Perfect Blue,No.148,9.0,"村井贞之,竹内义和","动画,惊悚,奇幻"
428693,李·昂克里奇,玩具总动员3 Toy Story 3,No.141,8.9,"迈克尔·阿恩特,约翰·拉塞特,安德鲁·斯坦顿,李·昂克里奇","喜剧,动画,奇幻,冒险"
661716,乔·赖特,傲慢与偏见 Pride & Prejudice,No.140,8.7,"简·奥斯汀,黛博拉·莫盖茨","剧情,爱情"
549535,金秉祐,恐怖直播 더 테러 라이브,No.139,8.7,金秉祐,"剧情,悬疑,犯罪"
818149,"皮埃尔·柯芬,克里斯·雷纳德",神偷奶爸 Despicable Me,No.138,8.6,"肯·道里欧,塞尔希奥·巴勃罗斯,辛科·保罗","喜剧,动画,冒险"
511026,理查德·柯蒂斯,时空恋旅人 About Time,No.137,8.8,理查德·柯蒂斯,"喜剧,爱情,奇幻"
556550,"彼特·道格特,大卫·西尔弗曼,李·昂克里奇","怪兽电力公司 Monsters, Inc.",No.136,8.7,"安德鲁·斯坦顿,丹尼尔·吉尔森,罗伯特·L·贝尔德,瑞特·里斯,乔纳森·罗伯特 ,彼特·道格特,杰夫·皮金,吉尔·卡尔顿,拉夫·埃格尔斯顿","喜剧,动画,儿童,奇幻,冒险"
546092,刘镇伟,射雕英雄传之东成西就 射鵰英雄傳之東成西就,No.135,8.7,刘镇伟,"喜剧,奇幻,武侠,古装"
comments_num,director,name,order,score,screenwriter,type
1166830,史蒂文·斯皮尔伯格,头号玩家 Ready Player One,No.151,8.7,"扎克·佩恩,恩斯特·克莱恩","动作,科幻,冒险"
