comments_num,director,name,order,screenwriter,type_one,type_two,type_three,type_four,type_five,score
452869,宫崎骏,幽灵公主 もののけ姫,104,宫崎骏,动画,奇幻,冒险,无,无,9.2
465212,M·奈特·沙马兰,第六感 The Sixth Sense,105,M·奈特·沙马兰,剧情,悬疑,惊悚,无,无,8.8
893465,李力持,唐伯虎点秋香 唐伯虎點秋香,106,"李力持,谷德昭,陈文强",喜剧,爱情,古装,无,无,8.7
359844,森淳一,小森林 夏秋篇 リトル?フォレスト 夏?秋,107,"森淳一,五十岚大介",剧情,无,无,无,无,8.8
671959,王家卫,重庆森林 重慶森林,108,王家卫,剧情,爱情,无,无,无,8.9
524625,姜文,阳光灿烂的日子,109,"姜文,王朔",剧情,爱情,无,无,无,9
536251,理查德·林克莱特,爱在黎明破晓前 Before Sunrise,110,"理查德·林克莱特,金·克里桑",剧情,爱情,无,无,无,9.3
539805,阿方索·卡隆,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,111,"史蒂夫·克洛夫斯,J·K·罗琳",奇幻,冒险,无,无,无,8.9
303485,杨德昌,一一,112,杨德昌,剧情,爱情,家庭,无,无,8.7
491372,北野武,菊次郎的夏天 菊次郎の夏,113,北野武,剧情,喜剧,无,无,无,8.8
605683,克里斯托弗·诺兰,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,114,"大卫·S·高耶,乔纳森·诺兰,克里斯托弗·诺兰",剧情,动作,科幻,惊悚,犯罪,9.1
769475,大卫·芬奇,消失的爱人 Gone Girl,115,吉莉恩·弗林,剧情,悬疑,惊悚,犯罪,无,8.9
321701,森淳一,小森林 冬春篇 リトル?フォレスト 冬?春,116,"森淳一,五十岚大介",剧情,无,无,无,无,8.6
254491,是枝裕和,无人知晓 誰も知らない,117,是枝裕和,剧情,无,无,无,无,9
853301,"唐·霍尔,克里斯·威廉姆斯",超能陆战队 Big Hero 6,118,"乔丹·罗伯茨,丹尼尔·吉尔森,罗伯特·L·贝尔德",喜剧,动作,科幻,动画,冒险,9
489877,泷田洋二郎,入殓师 おくりびと,119,小山薰堂,剧情,无,无,无,无,8.9
623425,程小东,倩女幽魂,120,阮继志,爱情,奇幻,武侠,古装,无,8.7
390815,近藤喜文,侧耳倾听 耳をすませば,121,"宫崎骏,柊葵",剧情,爱情,动画,无,无,8.7
245619,克林特·伊斯特伍德,完美的世界 A Perfect World,122,约翰·李·汉考克,剧情,犯罪,无,无,无,8.6
